arxiv_id_clean,max_appear_total,max_appear_prior
2305.03048,77,0
2305.02463,1,0
2305.02483,5,0
2305.03047,25,0
2305.02412,24,0
2305.02440,28,0
2305.02678,2,0
2305.02790,45,0
2305.02968,21,0
2305.03027,9,0
2305.03040,25,0
2305.03052,3,0
2305.02783,2,0
2305.02665,2,0
2305.03049,10,0
2305.02499,8,0
2305.03043,45,0
2305.02549,68,0
2305.03719,0,0
2305.03514,23,0
2305.03509,3,0
2305.03111,91,0
2305.03695,67,0
2305.03726,118,0
2305.03210,3,0
2305.03689,39,0
2305.04745,4,0
2305.04461,77,0
2305.04160,10,0
2305.04391,45,1
2305.03713,3,1
2305.03668,7,1
2305.03286,2,0
2305.04789,10,0
2305.03981,69,0
2305.04268,10,0
2305.04388,13,0
2305.04790,83,0
2305.04241,4,0
2305.04091,21,0
2305.05189,7,0
2305.05662,113,0
2305.05644,27,0
2305.03937,12,0
2305.05176,26,0
2305.05432,7,2
2305.05383,23,0
2305.04966,17,0
2305.05364,38,0
2305.05658,17,0
2305.06077,3,0
2305.05591,2,0
2305.05862,3,0
2304.09355,15,0
2305.05065,6,0
2305.05845,0,0
2305.06324,9,0
2305.06218,2,0
2305.05973,9,0
2305.06351,15,0
2305.05706,25,1
2305.06131,13,1
2305.06355,113,2
2305.06161,37,1
2305.06356,9,1
2305.06404,0,0
2305.06456,3,0
2305.06474,6,2
2305.06555,91,1
2305.06594,45,1
2305.07021,44,0
2305.06424,9,0
2305.07004,69,1
2305.07017,25,0
2305.07015,27,0
2305.07027,24,0
2305.06500,17,0
2305.07011,5,0
2305.06908,24,0
2305.06575,69,1
2305.07185,42,1
2305.07243,1,0
2305.07490,10,0
2305.07378,7,0
2305.07153,3,0
2305.07440,10,0
2305.07214,33,0
2305.07514,12,0
2305.08379,33,0
2305.07615,4,0
2305.08850,21,0
2305.07447,10,0
2305.07558,5,0
2305.07969,7,0
2305.08844,4,0
2305.09148,69,3
2305.07677,2,0
2305.07804,5,0
2305.08275,68,1
2305.08677,5,0
2305.08809,9,0
2305.08810,16,0
2305.09137,69,3
2305.08675,4,0
2305.08298,16,1
2305.09515,35,1
2305.09662,4,0
2305.08848,77,1
2305.07922,39,1
2305.09617,15,0
2305.08596,1,0
2305.09636,4,0
2305.07759,11,1
2305.07961,4,0
2305.09664,4,0
2305.10400,14,1
2305.10431,39,0
2305.08891,11,0
2305.09641,15,1
2305.09253,32,0
2305.09758,5,0
2305.09761,1,0
2305.10018,0,0
2305.10142,27,0
2305.10266,5,0
2305.09764,1,0
2305.10320,77,2
2305.09863,45,0
2305.10005,6,0
2305.10429,28,1
2305.10425,16,0
2305.10403,55,2
2305.09857,4,0
2305.09975,11,1
2305.10474,38,0
2305.10688,23,1
2305.10874,7,0
2305.10912,9,0
2305.10841,26,1
2305.11171,14,2
2305.11173,60,3
2305.10434,30,0
2305.10722,28,0
2305.11129,7,3
2305.10855,69,5
2305.11147,68,1
2305.11175,113,3
2305.11000,42,0
2305.10764,14,0
2305.10853,6,0
2305.10601,24,0
2305.10973,15,0
2305.10763,22,0
2305.11675,1,0
2305.11337,28,0
2305.11588,15,0
2305.11846,54,1
2305.11206,42,2
2305.11870,4,0
2305.11598,29,0
2305.11243,0,0
2305.11308,4,0
2305.11694,5,0
2305.11837,0,0
2305.11840,5,1
2305.11863,1,1
2305.11364,2,1
2305.11759,8,0
2305.11541,29,0
2305.11834,3,1
2305.11841,9,1
2305.13050,21,0
2305.13301,32,0
2305.11854,6,0
2305.13077,15,0
2305.11778,10,1
2305.11738,26,2
2305.13048,28,1
2305.12487,2,0
2305.13735,12,0
2305.13786,32,0
2305.12050,1,0
2305.13304,45,0
2305.14233,57,0
2305.13534,31,1
2305.14201,3,0
2305.12001,16,1
2305.14314,42,2
2305.13009,21,1
2305.11938,10,2
2305.13579,21,1
2305.13840,26,1
2305.15038,33,0
2305.14540,68,2
2305.15486,24,2
2305.14878,4,0
2305.14564,77,3
2305.15719,29,0
2305.15581,12,1
2305.15586,7,0
2305.15779,6,0
2305.15717,32,1
2305.16213,35,0
2305.16291,10,0
2305.15798,4,0
2305.16806,4,1
2305.16843,5,0
2305.16349,28,2
2305.16765,28,2
2305.16867,9,0
2305.16635,67,1
2305.16411,16,1
2305.16334,9,0
2305.16704,3,0
2305.16999,14,0
2305.16958,54,1
2305.16311,22,0
2305.16355,25,0
2305.16367,0,0
2305.16381,21,2
2305.16960,96,2
2305.17066,27,1
2305.17126,16,2
2305.16380,27,0
2305.17098,35,1
2305.16338,30,0
2305.18264,77,1
2305.17333,7,0
2305.18259,83,1
2305.17144,113,3
2305.17359,18,1
2305.18231,4,0
2305.18286,24,1
2305.17306,27,1
2305.18583,23,0
2305.17390,67,2
2305.18098,13,0
2305.18247,81,1
2305.18752,81,0
2305.17493,19,0
2305.18274,3,0
2305.18292,81,0
2305.17216,12,2
2305.18295,60,5
2305.18365,7,0
2305.18373,28,1
2305.19066,8,0
2305.19164,4,0
2305.19245,6,0
