arxiv_id_clean,cohort_day,day_total,day_count,own_kw_cell_sum,Z1p_kw,Zc_kw,Zown_loo_kw,kw_cell_size,kw_singleton
2305.02463,2023-05-04,18,4,14,1.6094379124341003,1.0986122886681098,2.3978952727983707,2,0
2305.02483,2023-05-04,18,4,3,2.772588722239781,1.3862943611198906,0.0,1,1
2305.03047,2023-05-04,18,4,1,2.8903717578961645,1.3862943611198906,0.0,1,1
2305.03048,2023-05-04,18,4,14,1.6094379124341003,1.0986122886681098,1.6094379124341003,2,0
2305.02412,2023-05-05,33,14,1,3.4965075614664802,2.6390573296152584,0.0,1,1
2305.02440,2023-05-05,33,14,3,3.4339872044851463,2.4849066497880004,1.0986122886681098,3,0
2305.02499,2023-05-05,33,14,9,3.2188758248682006,2.3978952727983707,1.791759469228055,4,0
2305.02549,2023-05-05,33,14,7,3.295836866004329,2.6390573296152584,0.0,1,1
2305.02665,2023-05-05,33,14,9,3.2188758248682006,2.3978952727983707,1.9459101490553132,4,0
2305.02678,2023-05-05,33,14,3,3.4339872044851463,2.4849066497880004,1.0986122886681098,3,0
2305.02783,2023-05-05,33,14,3,3.4339872044851463,2.5649493574615367,0.6931471805599453,2,0
2305.02790,2023-05-05,33,14,9,3.2188758248682006,2.3978952727983707,2.1972245773362196,4,0
2305.02968,2023-05-05,33,14,1,3.4965075614664802,2.6390573296152584,0.0,1,1
2305.03027,2023-05-05,33,14,3,3.4339872044851463,2.5649493574615367,1.0986122886681098,2,0
2305.03040,2023-05-05,33,14,3,3.4339872044851463,2.4849066497880004,1.0986122886681098,3,0
2305.03043,2023-05-05,33,14,6,3.332204510175204,2.6390573296152584,0.0,1,1
2305.03049,2023-05-05,33,14,3,3.4339872044851463,2.6390573296152584,0.0,1,1
2305.03052,2023-05-05,33,14,9,3.2188758248682006,2.3978952727983707,2.1972245773362196,4,0
2305.03111,2023-05-07,27,7,13,2.70805020110221,1.791759469228055,0.6931471805599453,2,0
2305.03210,2023-05-07,27,7,8,2.995732273553991,1.791759469228055,2.0794415416798357,2,0
2305.03509,2023-05-07,27,7,1,3.295836866004329,1.9459101490553132,0.0,1,1
