arxiv_id_clean,first_author_prior_papers_true,last_author_prior_papers_true,max_prior_papers_true,max_years_active,first_author_first_year,last_author_first_year,tierB_resolved
2302.06555,0.0,277.0,277.0,19.0,2023.0,2004.0,True
2304.09355,15.0,385.0,385.0,46.0,2017.0,1977.0,True
2305.02412,111.0,39.0,111.0,9.0,2014.0,2014.0,True
2305.02440,37.0,206.0,206.0,16.0,2007.0,2012.0,True
2305.02463,17.0,10.0,17.0,6.0,2017.0,2018.0,True
2305.02483,16.0,41.0,41.0,6.0,2017.0,2017.0,True
2305.02499,17.0,6.0,17.0,7.0,2020.0,2016.0,True
2305.02549,35.0,85.0,85.0,16.0,2013.0,2007.0,True
2305.02665,6.0,92.0,92.0,16.0,2016.0,2007.0,True
2305.02678,7.0,66.0,66.0,25.0,2018.0,1998.0,True
2305.02783,8.0,12.0,12.0,8.0,2019.0,2015.0,True
2305.02790,43.0,300.0,300.0,23.0,2002.0,2000.0,True
2305.02968,6.0,44.0,44.0,8.0,2019.0,2015.0,True
2305.03027,3.0,183.0,183.0,13.0,2017.0,2010.0,True
2305.03040,11.0,174.0,174.0,19.0,2017.0,2004.0,True
2305.03043,5.0,47.0,47.0,20.0,2019.0,2003.0,True
2305.03047,20.0,50.0,50.0,6.0,2017.0,2019.0,True
2305.03048,34.0,146.0,146.0,8.0,2020.0,2015.0,True
2305.03049,3.0,71.0,71.0,12.0,2022.0,2011.0,True
2305.03052,4.0,97.0,97.0,13.0,2019.0,2010.0,True
2305.03111,19.0,19.0,19.0,15.0,2008.0,2019.0,True
2305.03210,1.0,181.0,181.0,43.0,2023.0,1980.0,True
2305.03286,15.0,54.0,54.0,15.0,2017.0,2008.0,True
2305.03509,6.0,220.0,220.0,25.0,2011.0,1998.0,True
2305.03514,10.0,60.0,60.0,3.0,2020.0,2021.0,True
2305.03668,8.0,18.0,18.0,5.0,2018.0,2018.0,True
2305.03689,17.0,234.0,234.0,24.0,2015.0,1999.0,True
2305.03695,8.0,166.0,166.0,16.0,2019.0,2007.0,True
2305.03713,8.0,49.0,49.0,19.0,2017.0,2004.0,True
2305.03719,55.0,123.0,123.0,23.0,2000.0,2000.0,True
2305.03726,1.0,12.0,12.0,4.0,2019.0,2021.0,True
2305.03937,5.0,16.0,16.0,8.0,2019.0,2015.0,True
2305.03981,4.0,8.0,8.0,2.0,2022.0,2021.0,True
2305.04091,20.0,2.0,20.0,5.0,2018.0,2020.0,True
2305.04160,13.0,174.0,174.0,23.0,2003.0,2000.0,True
2305.04241,6.0,8.0,8.0,6.0,2017.0,2021.0,True
2305.04268,2.0,3.0,3.0,6.0,2023.0,2017.0,True
2305.04388,2.0,44.0,44.0,22.0,2020.0,2001.0,True
2305.04391,57.0,14.0,57.0,15.0,2008.0,2009.0,True
2305.04461,6.0,117.0,117.0,33.0,2019.0,1990.0,True
2305.04745,8.0,35.0,35.0,9.0,2019.0,2014.0,True
2305.04789,26.0,170.0,170.0,18.0,2018.0,2005.0,True
2305.04790,102.0,47.0,102.0,18.0,2005.0,2017.0,True
2305.04966,8.0,65.0,65.0,39.0,2021.0,1984.0,True
2305.05065,17.0,19.0,19.0,14.0,2018.0,2009.0,True
2305.05176,22.0,132.0,132.0,11.0,2016.0,2012.0,True
2305.05189,9.0,10.0,10.0,5.0,2018.0,2022.0,True
2305.05364,14.0,40.0,40.0,6.0,2017.0,2018.0,True
2305.05383,1.0,189.0,189.0,15.0,2021.0,2008.0,True
2305.05432,9.0,19.0,19.0,5.0,2018.0,2018.0,True
2305.05591,9.0,47.0,47.0,9.0,2014.0,2014.0,True
2305.05644,19.0,5.0,19.0,5.0,2018.0,2021.0,True
2305.05658,3.0,198.0,198.0,31.0,2020.0,1992.0,True
2305.05662,13.0,13.0,13.0,5.0,2018.0,2021.0,True
2305.05706,1.0,6.0,6.0,5.0,2022.0,2018.0,True
2305.05845,0.0,12.0,12.0,12.0,,2011.0,True
2305.05862,1.0,1.0,1.0,25.0,2022.0,1998.0,True
2305.05973,10.0,29.0,29.0,7.0,2017.0,2016.0,True
2305.06077,1.0,381.0,381.0,19.0,2021.0,2004.0,True
2305.06131,3.0,8.0,8.0,2.0,2021.0,2022.0,True
2305.06161,7.0,26.0,26.0,10.0,2020.0,2013.0,True
