arxiv_id_clean,title,published_v1,n_authors,primary_category,all_categories,abstract_n_chars,strat_month,strat_cat
2305.00606,Low-Resourced Machine Translation for Senegalese Wolof Language,2023-05-01T00:04:19Z,3,cs.CL,cs.CL,860,2023-05,cs.CL
2305.00633,Self-Evaluation Guided Beam Search for Reasoning,2023-05-01T02:37:59Z,7,cs.CL,cs.CL; cs.AI; cs.LG,1424,2023-05,cs.CL
2305.00833,Learning to Reason and Memorize with Self-Notes,2023-05-01T14:02:48Z,5,cs.LG,cs.LG; cs.AI; cs.CL,789,2023-05,cs.CL
2305.00844,Automated Paper Screening for Clinical Reviews Using Large Language Models,2023-05-01T14:16:37Z,6,cs.CL,cs.CL; cs.AI,1520,2023-05,cs.CL
2305.00926,Joint Modelling of Spoken Language Understanding Tasks with Integrated Dialog History,2023-05-01T16:26:18Z,5,cs.CL,cs.CL; cs.SD; eess.AS,1316,2023-05,cs.CL
2305.00944,Poisoning Language Models During Instruction Tuning,2023-05-01T16:57:33Z,4,cs.CL,cs.CL; cs.CR; cs.LG,1165,2023-05,cs.CL
2305.00948,Large Linguistic Models: Investigating LLMs' metalinguistic abilities,2023-05-01T17:09:33Z,3,cs.CL,cs.CL; cs.AI,939,2023-05,cs.CL
2305.00955,Bridging the Gap: A Survey on Integrating (Human) Feedback for Natural Language Generation,2023-05-01T17:36:06Z,11,cs.CL,cs.CL; cs.AI; cs.LG,1231,2023-05,cs.CL
2305.00969,CryCeleb: A Speaker Verification Dataset Based on Infant Cry Sounds,2023-05-01T17:56:32Z,5,cs.SD,cs.SD; cs.AI; cs.CL; eess.AS,773,2023-05,cs.CL
2305.01011,Deception Detection with Feature-Augmentation by soft Domain Transfer,2023-05-01T18:00:54Z,3,cs.CL,cs.CL; cs.LG,886,2023-05,cs.CL
2305.01020,Evaluating statistical language models as pragmatic reasoners,2023-05-01T18:22:10Z,4,cs.CL,cs.CL; cs.AI,1254,2023-05,cs.CL
2305.01028,Company classification using zero-shot learning,2023-05-01T18:36:06Z,6,cs.CL,cs.CL; cs.LG,1087,2023-05,cs.CL
2305.01050,SafeWebUH at SemEval-2023 Task 11: Learning Annotator Disagreement in Derogatory Text: Comparison of Direct Training vs Aggregation,2023-05-01T19:30:32Z,2,cs.CL,cs.CL; cs.LG; cs.SI,611,2023-05,cs.CL
2305.01082,Contextual Multilingual Spellchecker for User Queries,2023-05-01T20:29:59Z,5,cs.CL,cs.CL; cs.IR; cs.LG,1209,2023-05,cs.CL
2305.01099,Logion: Machine Learning for Greek Philology,2023-05-01T21:56:25Z,4,cs.CL,cs.CL; cs.LG,896,2023-05,cs.CL
2305.01145,ADVISE: AI-accelerated Design of Evidence Synthesis for Global Development,2023-05-02T01:29:53Z,6,cs.CL,cs.CL,1766,2023-05,cs.CL
2305.01146,RadAdapt: Radiology Report Summarization via Lightweight Domain Adaptation of Large Language Models,2023-05-02T01:33:02Z,12,cs.CL,cs.CL,973,2023-05,cs.CL
2305.01155,Lessons Learned in ATCO2: 5000 hours of Air Traffic Control Communications for Robust Automatic Speech Recognition and Understanding,2023-05-02T02:04:33Z,11,eess.AS,eess.AS; cs.CL; cs.HC; cs.SD,1917,2023-05,cs.CL
2305.03507,Read it Twice: Towards Faithfully Interpretable Fact Verification by Revisiting Evidence,2023-05-02T03:23:14Z,5,cs.CL,cs.CL; cs.IR,1119,2023-05,cs.CL
2305.01181,A Paradigm Shift: The Future of Machine Translation Lies with Large Language Models,2023-05-02T03:27:27Z,10,cs.CL,cs.CL,1293,2023-05,cs.CL
2305.03503,Think Rationally about What You See: Continuous Rationale Extraction for Relation Extraction,2023-05-02T03:52:34Z,5,cs.CL,cs.CL; cs.IR,1203,2023-05,cs.CL
2305.01194,The Pipeline System of ASR and NLU with MLM-based Data Augmentation toward STOP Low-resource Challenge,2023-05-02T04:03:30Z,9,cs.CL,cs.CL; cs.SD; eess.AS,797,2023-05,cs.CL
2305.01195,Topic Shift Detection in Chinese Dialogues: Corpus and Benchmark,2023-05-02T04:03:50Z,5,cs.CL,cs.CL; cs.LG,1026,2023-05,cs.CL
2305.01210,Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation,2023-05-02T05:46:48Z,4,cs.SE,cs.SE; cs.CL; cs.LG,1902,2023-05,cs.CL
2305.01211,MultiLegalSBD: A Multilingual Legal Sentence Boundary Detection Dataset,2023-05-02T05:52:03Z,3,cs.CL,cs.CL; cs.AI; cs.LG,976,2023-05,cs.CL
2305.01219,Prompt as Triggers for Backdoor Attack: Examining the Vulnerability in Language Models,2023-05-02T06:19:36Z,5,cs.CL,cs.CL; cs.AI,1271,2023-05,cs.CL
2305.01253,The Role of Summarization in Generative Agents: A Preliminary Perspective,2023-05-02T08:35:09Z,3,cs.CL,cs.CL,696,2023-05,cs.CL
2305.01278,VPGTrans: Transfer Visual Prompt Generator across LLMs,2023-05-02T09:28:39Z,7,cs.CV,cs.CV; cs.AI; cs.CL,1657,2023-05,cs.CL
2305.03501,Improving Cancer Hallmark Classification with BERT-based Deep Learning Approach,2023-05-02T09:57:54Z,2,cs.CL,cs.CL,1041,2023-05,cs.CL
2305.01323,Turning Flowchart into Dialog: Augmenting Flowchart-grounded Troubleshooting Dialogs via Synthetic Data Generation,2023-05-02T11:08:27Z,6,cs.CL,cs.CL,1172,2023-05,cs.CL
2305.01384,Class based Influence Functions for Error Detection,2023-05-02T13:01:39Z,7,cs.CL,cs.CL; cs.LG,592,2023-05,cs.CL
