arxiv_id_clean,ss_found,citation_count,influential_citations,reference_count,ss_pub_date,max_hindex,mean_hindex,last_author_hindex
2305.00606,1,5.0,0.0,31.0,2023-05-01,5.0,4.0,3.0
2305.00633,1,283.0,25.0,52.0,2023-05-01,31.0,14.857142857142858,12.0
2305.00833,1,40.0,0.0,50.0,2023-05-01,107.0,47.8,35.0
2305.00844,1,170.0,22.0,42.0,2023-05-01,33.0,11.333333333333334,33.0
2305.00926,1,4.0,0.0,42.0,2023-05-01,86.0,29.4,86.0
2305.00944,1,333.0,25.0,32.0,2023-05-01,85.0,38.5,85.0
2305.00948,1,17.0,2.0,83.0,2023-05-01,13.0,7.0,6.0
2305.00955,1,78.0,9.0,153.0,2023-05-01,92.0,22.90909090909091,19.0
2305.00969,1,15.0,4.0,20.0,2023-05-01,7.0,4.25,7.0
2305.01011,1,5.0,0.0,22.0,2023-05-01,34.0,16.0,34.0
2305.01020,1,18.0,0.0,59.0,2023-05-01,140.0,43.25,140.0
2305.01028,1,6.0,1.0,24.0,2023-05-01,16.0,6.666666666666667,16.0
2305.01050,1,7.0,0.0,28.0,2023-05-01,40.0,23.0,40.0
2305.01082,1,13.0,0.0,16.0,2023-05-01,29.0,9.0,5.0
2305.01099,1,7.0,0.0,28.0,2023-05-01,12.0,6.25,12.0
2305.01145,1,3.0,0.0,48.0,2023-05-02,23.0,10.0,23.0
2305.01146,1,45.0,1.0,45.0,2023-05-02,29.0,12.416666666666666,7.0
2305.01155,1,4.0,1.0,84.0,2023-05-02,42.0,19.454545454545453,24.0
2305.03507,1,32.0,1.0,39.0,2023-05-02,30.0,20.0,17.0
2305.01181,1,39.0,1.0,83.0,2023-05-02,26.0,15.5,14.0
2305.03503,1,10.0,0.0,38.0,2023-05-02,28.0,17.6,17.0
2305.01194,1,7.0,1.0,6.0,2023-05-02,86.0,21.444444444444443,86.0
2305.01195,1,5.0,0.0,27.0,2023-05-02,17.0,8.4,17.0
2305.01210,1,1815.0,172.0,93.0,2023-05-02,50.0,21.25,50.0
2305.01211,1,12.0,0.0,37.0,2023-05-02,13.0,7.333333333333333,13.0
2305.01219,1,141.0,6.0,57.0,2023-05-02,36.0,20.8,16.0
2305.01253,1,3.0,0.0,12.0,2023-05-02,49.0,31.333333333333332,49.0
